Village Name,Panchayat Name,Block Name,District Name,State Name,Total Population,SC Population,ST Population,GEN Population,No. of Habitations,Is PWS Available,JJM Status,Har Ghar Jal Certificate,Total Households,Total Tap Connections
Daulatpura,Daulatpura,RAMPURA,Bathinda,Punjab,1521,605,0,916,1,Yes,Har ghar jal certified,Certificate by public health engineering department,293,293
Dhade,Dhade,RAMPURA,Bathinda,Punjab,3351,693,0,2658,1,Yes,Har ghar jal certified,Certificate by public health engineering department,610,610
Dikh,Dikh,RAMPURA,Bathinda,Punjab,3604,1028,0,2576,2,Yes,Har ghar jal certified,Certificate by public health engineering department,739,739
Ghurella,Gharaila,RAMPURA,Bathinda,Punjab,970,254,0,716,1,Yes,Har ghar jal certified,Certificate by public health engineering department,181,181
Ghurelli,Gharaili,RAMPURA,Bathinda,Punjab,1114,241,0,873,1,Yes,Har ghar jal certified,Certificate by public health engineering department,214,214
Gill Kalan,Gill Kalan,RAMPURA,Bathinda,Punjab,3880,1443,0,2437,1,Yes,Har ghar jal certified,Certificate by public health engineering department,784,784
Gill Khurd,Gill Khurd,RAMPURA,Bathinda,Punjab,1226,388,0,838,1,Yes,Har ghar jal certified,Certificate by public health engineering department,221,221
HARKRISHANPURA,HARKRISHANPURA,RAMPURA,Bathinda,Punjab,874,243,0,631,2,Yes,Har ghar jal certified,Certificate by public health engineering department,193,193
Jaid,Jaid,RAMPURA,Bathinda,Punjab,1299,307,0,992,1,Yes,Har ghar jal certified,Certificate by public health engineering department,241,241
Jeond,Jeond,RAMPURA,Bathinda,Punjab,3159,1053,0,2106,1,Yes,Har ghar jal certified,Certificate by public health engineering department,619,619
Jethuke,Jethuke,RAMPURA,Bathinda,Punjab,2945,1053,0,1892,1,Yes,Har ghar jal certified,Certificate by public health engineering department,582,582
Jhanduke,Jhanduke,RAMPURA,Bathinda,Punjab,2621,883,0,1738,1,Yes,Har ghar jal certified,Certificate by public health engineering department,489,489
Kararwala,Kararwala,RAMPURA,Bathinda,Punjab,4356,1605,0,2751,2,Yes,Har ghar jal certified,Certificate by public health engineering department,870,870
Khokhar,Khokhar,RAMPURA,Bathinda,Punjab,3129,1004,0,2125,1,Yes,Har ghar jal certified,Certificate by public health engineering department,587,587
Kotra Koreana,Kotra Koreana,RAMPURA,Bathinda,Punjab,4239,1685,0,2554,1,Yes,Har ghar jal certified,Certificate by public health engineering department,859,859
